SpecID,LabelBinomial,Measure,MeasureNo,Value,Date,Side
NHML_75.2223,Microgale_cowani,15_ML,1,13.17,28/01/2013,
NHML_75.2223,Microgale_cowani,16_MTR,1,8.8,28/01/2013,
NHML_75.2223,Microgale_cowani,17_CorP,1,4.7,28/01/2013,
NHML_75.2223,Microgale_cowani,18_ConY,1,3.12,28/01/2013,
NHML_75.2223,Microgale_cowani,19_CorCon,1,3.64,28/01/2013,
NHML_75.2223,Microgale_cowani,15_ML,2,13.36,28/01/2013,
NHML_75.2223,Microgale_cowani,16_MTR,2,8.1,28/01/2013,
NHML_75.2223,Microgale_cowani,17_CorP,2,4.86,28/01/2013,
NHML_75.2223,Microgale_cowani,18_ConY,2,3.22,28/01/2013,
NHML_75.2223,Microgale_cowani,19_CorCon,2,3.56,28/01/2013,
NHML_75.2223,Microgale_cowani,15_ML,3,13.17,28/01/2013,
NHML_75.2223,Microgale_cowani,16_MTR,3,8.3,28/01/2013,
NHML_75.2223,Microgale_cowani,17_CorP,3,5.61,28/01/2013,
NHML_75.2223,Microgale_cowani,18_ConY,3,2.94,28/01/2013,
NHML_75.2223,Microgale_cowani,19_CorCon,3,3.55,28/01/2013,
NHML_1960.10.11.12,Galemys_pyrenaica,15_ML,1,21.2,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,16_MTR,1,13.09,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,17_CorP,1,10.97,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,18_ConY,1,6.51,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,19_CorCon,1,7.61,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,15_ML,2,21.16,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,16_MTR,2,13.62,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,17_CorP,2,11.44,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,18_ConY,2,6.79,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,19_CorCon,2,7.46,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,15_ML,3,21.4,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,16_MTR,3,13.46,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,17_CorP,3,11.76,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,18_ConY,3,6.64,28/01/2013,right
NHML_1960.10.11.12,Galemys_pyrenaica,19_CorCon,3,7.5,28/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,15_ML,1,38.41,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,16_MTR,1,24.28,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,17_CorP,1,20.27,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,18_ConY,1,13.19,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,19_CorCon,1,13.39,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,15_ML,2,38.4,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,16_MTR,2,24.43,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,17_CorP,2,20.34,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,18_ConY,2,13.04,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,19_CorCon,2,13.01,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,15_ML,3,38.22,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,16_MTR,3,24.55,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,17_CorP,3,21.06,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,18_ConY,3,13.11,29/01/2013,right
NHML_1919.7.7.2313,Desmana_moschata,19_CorCon,3,11.73,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,15_ML,1,24.06,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,16_MTR,1,13.96,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,17_CorP,1,12.62,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,18_ConY,1,8.94,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,19_CorCon,1,8.04,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,15_ML,2,24.03,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,16_MTR,2,13.7,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,17_CorP,2,12.52,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,18_ConY,2,9.75,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,19_CorCon,2,7.96,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,15_ML,3,24.72,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,16_MTR,3,14.63,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,17_CorP,3,12.51,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,18_ConY,3,9.09,29/01/2013,right
NHML_1961.6.2.3,Chrysospalax_trevelyani,19_CorCon,3,8.23,29/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,15_ML,1,15.93,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,16_MTR,1,8.32,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,17_CorP,1,8.04,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,18_ConY,1,5.23,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,19_CorCon,1,5.49,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,15_ML,2,15.97,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,16_MTR,2,8.17,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,17_CorP,2,6.84,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,18_ConY,2,5.29,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,19_CorCon,2,5.4,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,15_ML,3,15.95,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,16_MTR,3,8.89,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,17_CorP,3,8.33,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,18_ConY,3,5,30/01/2013,right
NHML_1966.7.6.2,Urotrichus_talpoides,19_CorCon,3,5.26,30/01/2013,right
NHML_74.668,Chrysochloris_sp,15_ML,1,16.34,30/01/2013,right
NHML_74.668,Chrysochloris_sp,16_MTR,1,8.45,30/01/2013,right
NHML_74.668,Chrysochloris_sp,17_CorP,1,5.92,30/01/2013,right
NHML_74.668,Chrysochloris_sp,18_ConY,1,7.03,30/01/2013,right
NHML_74.668,Chrysochloris_sp,19_CorCon,1,6.27,30/01/2013,right
NHML_74.668,Chrysochloris_sp,15_ML,2,16.05,30/01/2013,right
NHML_74.668,Chrysochloris_sp,16_MTR,2,8.94,30/01/2013,right
NHML_74.668,Chrysochloris_sp,17_CorP,2,5.96,30/01/2013,right
NHML_74.668,Chrysochloris_sp,18_ConY,2,6.77,30/01/2013,right
NHML_74.668,Chrysochloris_sp,19_CorCon,2,6.2,30/01/2013,right
NHML_74.668,Chrysochloris_sp,15_ML,3,16.26,30/01/2013,right
NHML_74.668,Chrysochloris_sp,16_MTR,3,8.93,30/01/2013,right
NHML_74.668,Chrysochloris_sp,17_CorP,3,6.08,30/01/2013,right
NHML_74.668,Chrysochloris_sp,18_ConY,3,6.66,30/01/2013,right
NHML_74.668,Chrysochloris_sp,19_CorCon,3,6.18,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,15_ML,1,14.12,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,16_MTR,1,6.7,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,17_CorP,1,5.51,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,18_ConY,1,6.63,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,19_CorCon,1,4.99,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,15_ML,2,13.67,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,16_MTR,2,5.73,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,17_CorP,2,5.6,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,18_ConY,2,6.95,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,19_CorCon,2,4.81,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,15_ML,3,13.67,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,16_MTR,3,5.17,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,17_CorP,3,5.66,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,18_ConY,3,7.78,30/01/2013,right
NHML_3.6.2.10,Amblysomus_hottentotus,19_CorCon,3,4.94,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,15_ML,1,19.71,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,16_MTR,1,11.53,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,17_CorP,1,6.97,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,18_ConY,1,4.86,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,19_CorCon,1,6.27,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,15_ML,2,19.37,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,16_MTR,2,11.63,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,17_CorP,2,6.8,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,18_ConY,2,4.76,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,19_CorCon,2,6.24,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,15_ML,3,19.76,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,16_MTR,3,11.67,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,17_CorP,3,6.81,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,18_ConY,3,5.01,30/01/2013,right
NHML_98.2.2.8,Talpa_occidentalis,19_CorCon,3,6.17,30/01/2013,right
NHML_3.1.1.1,Geogale_aurita,15_ML,1,11.76,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,16_MTR,1,6.04,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,17_CorP,1,4.96,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,18_ConY,1,2.51,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,19_CorCon,1,2.53,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,15_ML,2,11.52,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,16_MTR,2,6.4,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,17_CorP,2,4.93,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,18_ConY,2,2.94,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,19_CorCon,2,2.59,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,15_ML,3,11.56,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,16_MTR,3,6.2,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,17_CorP,3,4.95,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,18_ConY,3,3.04,31/01/2013,right
NHML_3.1.1.1,Geogale_aurita,19_CorCon,3,2.25,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,15_ML,1,23.1,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,16_MTR,1,12.36,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,17_CorP,1,7.94,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,18_ConY,1,6.24,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,19_CorCon,1,7.11,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,15_ML,2,23.03,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,16_MTR,2,12.44,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,17_CorP,2,7.93,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,18_ConY,2,6.64,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,19_CorCon,2,6.87,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,15_ML,3,23.02,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,16_MTR,3,13.03,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,17_CorP,3,7.95,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,18_ConY,3,6.5,31/01/2013,right
NHML_1958.3.11.7,Scalopus_aquaticus,19_CorCon,3,6.9,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,15_ML,1,21.9,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,16_MTR,1,13.64,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,17_CorP,1,5.11,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,18_ConY,1,5.91,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,19_CorCon,1,4.18,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,15_ML,2,20.8,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,16_MTR,2,13.3,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,17_CorP,2,5.12,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,18_ConY,2,6.82,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,19_CorCon,2,4.33,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,15_ML,3,20.78,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,16_MTR,3,13.79,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,17_CorP,3,5.18,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,18_ConY,3,6.32,31/01/2013,right
NHML_1958.3.11.5,Condylura_cristata,19_CorCon,3,4.21,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,15_ML,1,29.86,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,16_MTR,1,16.38,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,17_CorP,1,8.55,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,18_ConY,1,6,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,19_CorCon,1,7.5,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,15_ML,2,30.08,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,16_MTR,2,16.25,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,17_CorP,2,8.38,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,18_ConY,2,6.01,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,19_CorCon,2,7.41,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,15_ML,3,29.89,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,16_MTR,3,16.86,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,17_CorP,3,8.35,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,18_ConY,3,5.88,31/01/2013,right
NHML_82.3.1.11,Hemicentetes_nigriceps,19_CorCon,3,7.46,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,15_ML,1,24.43,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,16_MTR,1,16.51,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,17_CorP,1,9.37,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,18_ConY,1,6.13,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,19_CorCon,1,5.49,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,15_ML,2,25.11,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,16_MTR,2,15.42,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,17_CorP,2,9.5,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,18_ConY,2,5.81,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,19_CorCon,2,5.56,31/01/2013,right
NHML_1960.8.4.7,Hylomys_suillus,15_ML,3,25.54,31/01/2013,right
