ID,Image,SpecID,Skull,Order_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
1,'AMNH_161526_ma_1A_26_04_2013.TIF',AMNH_161526,Y,Afrosoricida,Chrysochloridae,Chlorotalpa,,duthieae,,Chlorotalpa_duthieae,
2,'AMNH_161527_ma_1A_26_04_2013.TIF',AMNH_161527,Y,Afrosoricida,Chrysochloridae,Chlorotalpa,,duthieae,,Chlorotalpa_duthieae,
3,'AMNH_161559_ma_1A_26_04_2013.TIF',AMNH_161559,Y,Afrosoricida,Chrysochloridae,Eremitalpa,,granti,granti,Eremitalpa_granti,Eremitalpa_granti_granti
4,'AMNH_161571_ma_1A_26_04_2013.TIF',AMNH_161571,Y,Afrosoricida,Chrysochloridae,Eremitalpa,,granti,granti,Eremitalpa_granti,Eremitalpa_granti_granti
5,'AMNH_167961_ma_1A_26_04_2013.TIF',AMNH_167961,Y,Afrosoricida,Chrysochloridae,Chrysochloris,,asiatica,,Chrysochloris_asiatica,
6,'AMNH_180911_ma_1A_26_04_2013.TIF',AMNH_180911,Y,Afrosoricida,Chrysochloridae,Chrysochloris,Kilimatalpa,stuhlmanni,,Chrysochloris_stuhlmanni,
7,'AMNH_180912_ma_1A_26_04_2013.TIF',AMNH_180912,Y,Afrosoricida,Chrysochloridae,Chrysochloris,Kilimatalpa,stuhlmanni,,Chrysochloris_stuhlmanni,
8,'AMNH_212938_ma_1A_25_04_2013.TIF',AMNH_212938,Y,Afrosoricida,Tenrecidae,Hemicentetes,,semispinosus,,Hemicentetes_semispinosus,
9,'AMNH_274982_ma_1A_22_04_2013.TIF',AMNH_274982,Y,Afrosoricida,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
10,'AMNH_274986_ma_1A_22_04_2013.TIF',AMNH_274986,Y,Afrosoricida,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
11,'AMNH_274987_ma_1A_22_04_2013.TIF',AMNH_274987,Y,Afrosoricida,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
12,'AMNH_274988_ma_1A_22_04_2013.TIF',AMNH_274988,Y,Afrosoricida,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
13,'AMNH_274989_ma_left_flipped_1A_22_04_2013.TIF',AMNH_274989,Y,Afrosoricida,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
14,'AMNH_275041_ma_1A_23_04_2013.TIF',AMNH_275041,Y,Afrosoricida,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
15,'AMNH_275088_ma_1A_24_04_2013.TIF',AMNH_275088,Y,Afrosoricida,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
16,'AMNH_275089_ma_1A_24_04_2013.TIF',AMNH_275089,Y,Afrosoricida,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
17,'AMNH_275090_ma_1A_24_04_2013.TIF',AMNH_275090,Y,Afrosoricida,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
18,'AMNH_275092_ma_1A_24_04_2013.TIF',AMNH_275092,Y,Afrosoricida,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
19,'AMNH_275095_ma_1A_24_04_2013.TIF',AMNH_275095,Y,Afrosoricida,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
20,'AMNH_275133_ma_1A_24_04_2013.TIF',AMNH_275133,Y,Afrosoricida,Tenrecidae,Microgale,,fotsifotsy,,Microgale_fotsifotsy,
21,'AMNH_275134_ma_1A_22_04_2013.TIF',AMNH_275134,Y,Afrosoricida,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
22,'AMNH_275135_ma_1A_22_04_2013.TIF',AMNH_275135,Y,Afrosoricida,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
23,'AMNH_275136_ma_1A_22_04_2013.TIF',AMNH_275136,Y,Afrosoricida,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
24,'AMNH_275137_ma_left__flipped_1A_22_04_2013.TIF',AMNH_275137,Y,Afrosoricida,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
25,'AMNH_275138_ma_1A_22_04_2013.TIF',AMNH_275138,Y,Afrosoricida,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
26,'AMNH_275141_ma_1A_22_04_2013.TIF',AMNH_275141,Y,Afrosoricida,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
27,'AMNH_275142_ma_left__flipped_1A_22_04_2013.TIF',AMNH_275142,Y,Afrosoricida,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
28,'AMNH_275143_ma_1A_23_04_2013.TIF',AMNH_275143,Y,Afrosoricida,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
29,'AMNH_275148_ma_1A_23_04_2013.TIF',AMNH_275148,Y,Afrosoricida,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
30,'AMNH_275149_ma_1A_23_04_2013.TIF',AMNH_275149,Y,Afrosoricida,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
31,'AMNH_275157_ma_left_flipped_1A_23_04_2013.TIF',AMNH_275157,Y,Afrosoricida,Tenrecidae,Microgale,,parvula,,Microgale_parvula,
32,'AMNH_275158_ma_1A_23_04_2013.TIF',AMNH_275158,Y,Afrosoricida,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
33,'AMNH_275160_ma_1A_23_04_2013.TIF',AMNH_275160,Y,Afrosoricida,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
34,'AMNH_275162_ma_1A_23_04_2013.TIF',AMNH_275162,Y,Afrosoricida,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
35,'AMNH_275163_ma_1A_23_04_2013.TIF',AMNH_275163,Y,Afrosoricida,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
36,'AMNH_275189_ma_1A_24_04_2013.TIF',AMNH_275189,Y,Afrosoricida,Tenrecidae,Oryzorictes,,hova,,Oryzorictes_hova,
37,'AMNH_275190_ma_1A_25_04_2013.TIF',AMNH_275190,Y,Afrosoricida,Tenrecidae,Oryzorictes,,hova,,Oryzorictes_hova,
38,'AMNH_275191_ma_1A_25_04_2013.TIF',AMNH_275191,Y,Afrosoricida,Tenrecidae,Oryzorictes,,hova,,Oryzorictes_hova,
39,'AMNH_275250_ma_1A_24_04_2013.TIF',AMNH_275250,Y,Afrosoricida,Tenrecidae,Microgale,,brevicaudata,,Microgale_brevicaudata,
40,'AMNH_275251_ma_1A_24_04_2013.TIF',AMNH_275251,Y,Afrosoricida,Tenrecidae,Microgale,,brevicaudata,,Microgale_brevicaudata,
41,'AMNH_275253_ma_1A_24_04_2013.TIF',AMNH_275253,Y,Afrosoricida,Tenrecidae,Microgale,,brevicaudata,,Microgale_brevicaudata,
42,'AMNH_275254_ma_1A_24_04_2013.TIF',AMNH_275254,Y,Afrosoricida,Tenrecidae,Microgale,,brevicaudata,,Microgale_brevicaudata,
43,'AMNH_275255_ma_1A_24_04_2013.TIF',AMNH_275255,Y,Afrosoricida,Tenrecidae,Microgale,,brevicaudata,,Microgale_brevicaudata,
44,'AMNH_275281_ma_1A_24_04_2013.TIF',AMNH_275281,Y,Afrosoricida,Tenrecidae,Microgale,,fotsifotsy,,Microgale_fotsifotsy,
45,'AMNH_275282_ma_1A_24_04_2013.TIF',AMNH_275282,Y,Afrosoricida,Tenrecidae,Microgale,,fotsifotsy,,Microgale_fotsifotsy,
46,'AMNH_275283_ma_1A_23_04_2013.TIF',AMNH_275283,Y,Afrosoricida,Tenrecidae,Microgale,,fotsifotsy,,Microgale_fotsifotsy,
47,'AMNH_275298_ma_1A_23_04_2013.TIF',AMNH_275298,Y,Afrosoricida,Tenrecidae,Microgale,,taiva,,Microgale_taiva,
48,'AMNH_275299_ma_1A_23_04_2013.TIF',AMNH_275299,Y,Afrosoricida,Tenrecidae,Microgale,,taiva,,Microgale_taiva,
49,'AMNH_275300_ma_left_flipped_1A_23_04_2013.TIF',AMNH_275300,Y,Afrosoricida,Tenrecidae,Microgale,,taiva,,Microgale_taiva,
50,'AMNH_275301_ma_1A_23_04_2013.TIF',AMNH_275301,Y,Afrosoricida,Tenrecidae,Microgale,,taiva,,Microgale_taiva,
51,'AMNH_275360_ma_1A_25_04_2013.TIF',AMNH_275360,Y,Afrosoricida,Tenrecidae,Oryzorictes,,hova,,Oryzorictes_hova,
52,'AMNH_275364_ma_left_flipped_1A_23_04_2013.TIF',AMNH_275364,Y,Afrosoricida,Tenrecidae,Microgale,,parvula,,Microgale_parvula,
53,'AMNH_275365_ma_1A_23_04_2013.TIF',AMNH_275365,Y,Afrosoricida,Tenrecidae,Microgale,,parvula,,Microgale_parvula,
54,'AMNH_275368_ma_left_flipped_1A_23_04_2013.TIF',AMNH_275368,Y,Afrosoricida,Tenrecidae,Microgale,,parvula,,Microgale_parvula,
55,'AMNH_31243_ma_1A_24_04_2013.TIF',AMNH_31243,Y,Afrosoricida,Tenrecidae,Oryzorictes,,tetradactylus,,Oryzorictes_tetradactylus,
56,'AMNH_31257_ma_1A_24_04_2013.TIF',AMNH_31257,Y,Afrosoricida,Tenrecidae,Oryzorictes,,tetradactylus,,Oryzorictes_tetradactylus,
57,'AMNH_31270_ma_1A_25_04_2013.TIF',AMNH_31270,Y,Afrosoricida,Tenrecidae,Echinops,,telfairi,,Echinops_telfairi,
