ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Subfamily_05,Genus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
1,'AMNH_161526_cr_lt_1A_26_04_2013.TIF',AMNH_161526,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chlorotalpa,duthieae,,Chlorotalpa_duthieae,
2,'AMNH_161527_cr_lt_1A_26_04_2013.TIF',AMNH_161527,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chyrsochlorinae,Chlorotalpa,duthieae,,Chlorotalpa_duthieae,
3,'AMNH_161559_cr_lt_1A_26_04_2013.TIF',AMNH_161559,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Eremitalpa,granti,granti,Eremitalpa_granti,Eremitalpa_granti_granti
4,'AMNH_161571_cr_lt_1A_26_04_2013.TIF',AMNH_161571,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Eremitalpa,granti,granti,Eremitalpa_granti,Eremitalpa_granti_granti
5,'AMNH_167961_cr_lt_1A_26_04_2013.TIF',AMNH_167961,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chrysochloris,asiatica,,Chrysochloris_asiatica,
6,'AMNH_180911_cr_lt_1A_26_04_2013.TIF',AMNH_180911,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,
7,'AMNH_180912_cr_lt_1A_26_04_2013.TIF',AMNH_180912,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,
8,'AMNH_212938_cr_lt_1A_25_04_2013.TIF',AMNH_212938,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrecinae,Hemicentetes,semispinosus,,Hemicentetes_semispinosus,
9,'AMNH_274982_cr_lt_1A_22_04_2013.TIF',AMNH_274982,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,jobihely,,Microgale_jobihely,
10,'AMNH_274986_cr_lt_1A_22_04_2013.TIF',AMNH_274986,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,jobihely,,Microgale_jobihely,
11,'AMNH_274987_cr_lt_1A_22_04_2013.TIF',AMNH_274987,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,jobihely,,Microgale_jobihely,
12,'AMNH_274988_cr_lt_1A_22_04_2013.TIF',AMNH_274988,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,jobihely,,Microgale_jobihely,
13,'AMNH_274989_cr_lt_1A_22_04_2013.TIF',AMNH_274989,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,jobihely,,Microgale_jobihely,
14,'AMNH_275041_cr_lt_1A_23_04_2013.TIF',AMNH_275041,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,soricoides,,Microgale_soricoides,
15,'AMNH_275088_cr_lt_1A_24_04_2013.TIF',AMNH_275088,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,drouhardi,,Microgale_drouhardi,
16,'AMNH_275089_cr_lt_1A_24_04_2013.TIF',AMNH_275089,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,drouhardi,,Microgale_drouhardi,
17,'AMNH_275090_cr_lt_1A_24_04_2013.TIF',AMNH_275090,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,drouhardi,,Microgale_drouhardi,
18,'AMNH_275092_cr_lt_1A_24_04_2013.TIF',AMNH_275092,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,drouhardi,,Microgale_drouhardi,
19,'AMNH_275095_cr_lt_1A_24_04_2013.TIF',AMNH_275095,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,drouhardi,,Microgale_drouhardi,
20,'AMNH_275133_cr_lt_1A_24_04_2013.TIF',AMNH_275133,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,fotsifotsy,,Microgale_fotsifotsy,
21,'AMNH_275134_cr_lt_1A_22_04_2013.TIF',AMNH_275134,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gymnorhyncha,,Microgale_gymnorhyncha,
22,'AMNH_275135_cr_lt_1A_22_04_2013.TIF',AMNH_275135,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gymnorhyncha,,Microgale_gymnorhyncha,
23,'AMNH_275136_cr_lt_1A_22_04_2013.TIF',AMNH_275136,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gymnorhyncha,,Microgale_gymnorhyncha,
24,'AMNH_275137_cr_lt_1A_22_04_2013.TIF',AMNH_275137,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gymnorhyncha,,Microgale_gymnorhyncha,
25,'AMNH_275138_cr_lt_1A_22_04_2013.TIF',AMNH_275138,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gymnorhyncha,,Microgale_gymnorhyncha,
26,'AMNH_275141_cr_lt_1A_22_04_2013.TIF',AMNH_275141,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,longicaudata,,Microgale_longicaudata,
27,'AMNH_275142_cr_lt_1A_22_04_2013.TIF',AMNH_275142,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,longicaudata,,Microgale_longicaudata,
28,'AMNH_275143_cr_lt_1A_23_04_2013.TIF',AMNH_275143,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,longicaudata,,Microgale_longicaudata,
29,'AMNH_275148_cr_lt_1A_23_04_2013.TIF',AMNH_275148,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,longicaudata,,Microgale_longicaudata,
30,'AMNH_275149_cr_lt_1A_23_04_2013.TIF',AMNH_275149,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,longicaudata,,Microgale_longicaudata,
31,'AMNH_275157_cr_lt_1A_23_04_2013.TIF',AMNH_275157,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,parvula,,Microgale_parvula,
32,'AMNH_275158_cr_lt_1A_23_04_2013.TIF',AMNH_275158,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,soricoides,,Microgale_soricoides,
33,'AMNH_275160_cr_lt_1A_23_04_2013.TIF',AMNH_275160,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,soricoides,,Microgale_soricoides,
34,'AMNH_275162_cr_lt_1A_23_04_2013.TIF',AMNH_275162,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,soricoides,,Microgale_soricoides,
35,'AMNH_275163_cr_lt_1A_23_04_2013.TIF',AMNH_275163,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,soricoides,,Microgale_soricoides,
36,'AMNH_275189_cr_lt_1A_24_04_2013.TIF',AMNH_275189,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,hova,,Oryzorictes_hova,
37,'AMNH_275190_cr_lt_1A_25_04_2013.TIF',AMNH_275190,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,hova,,Oryzorictes_hova,
38,'AMNH_275191_cr_lt_1A_25_04_2013.TIF',AMNH_275191,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,hova,,Oryzorictes_hova,
39,'AMNH_275250_cr_lt_1A_24_04_2013.TIF',AMNH_275250,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,brevicaudata,,Microgale_brevicaudata,
40,'AMNH_275251_cr_lt_1A_24_04_2013.TIF',AMNH_275251,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,brevicaudata,,Microgale_brevicaudata,
41,'AMNH_275253_cr_lt_1A_24_04_2013.TIF',AMNH_275253,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,brevicaudata,,Microgale_brevicaudata,
42,'AMNH_275254_cr_lt_1A_24_04_2013.TIF',AMNH_275254,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,brevicaudata,,Microgale_brevicaudata,
43,'AMNH_275255_cr_lt_1A_24_04_2013.TIF',AMNH_275255,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,brevicaudata,,Microgale_brevicaudata,
44,'AMNH_275281_cr_lt_1A_24_04_2013.TIF',AMNH_275281,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,fotsifotsy,,Microgale_fotsifotsy,
45,'AMNH_275282_cr_lt_1A_24_04_2013.TIF',AMNH_275282,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,fotsifotsy,,Microgale_fotsifotsy,
46,'AMNH_275283_cr_lt_1A_23_04_2013.TIF',AMNH_275283,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,fotsifotsy,,Microgale_fotsifotsy,
47,'AMNH_275298_cr_lt_1A_23_04_2013.TIF',AMNH_275298,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,taiva,,Microgale_taiva,
48,'AMNH_275299_cr_lt_1A_23_04_2013.TIF',AMNH_275299,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,taiva,,Microgale_taiva,
49,'AMNH_275300_cr_lt_1A_23_04_2013.TIF',AMNH_275300,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,taiva,,Microgale_taiva,
50,'AMNH_275301_cr_lt_1A_23_04_2013.TIF',AMNH_275301,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,taiva,,Microgale_taiva,
51,'AMNH_275360_cr_lt_1A_25_04_2013.TIF',AMNH_275360,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,hova,,Oryzorictes_hova,
52,'AMNH_275364_cr_lt_1A_23_04_2013.TIF',AMNH_275364,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,parvula,,Microgale_parvula,
53,'AMNH_275365_cr_lt_1A_23_04_2013.TIF',AMNH_275365,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,parvula,,Microgale_parvula,
54,'AMNH_275368_cr_lt_1A_23_04_2013.TIF',AMNH_275368,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,parvula,,Microgale_parvula,
55,'AMNH_31243_cr_lt_left_1A_24_04_2013_flipped.tif',AMNH_31243,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,tetradactylus,,Oryzorictes_tetradactylus,
56,'AMNH_31257_cr_lt_left_1A_24_04_2013_flipped.tif',AMNH_31257,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,tetradactylus,,Oryzorictes_tetradactylus,
57,'AMNH_31270_cr_lt_1A_25_04_2013.TIF',AMNH_31270,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrecinae,Echinops,telfairi,,Echinops_telfairi,
58,'AMNH_34647_cr_lt_1A_25_04_2013.TIF',AMNH_34647,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chrysospalax,trevelyani,,Chrysospalax_trevelyani,
59,'AMNH_51324_cr_lt_1A_25_04_2013.TIF',AMNH_51324,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Potamogale,velox,,Potamogale_velox,
60,'AMNH_51327_cr_lt_1A_25_04_2013.TIF',AMNH_51327,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Potamogale,velox,,Potamogale_velox,
