Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Tenrecidae	Hemicentetes_semispinosus
6	Tenrecidae	Microgale_jobihely
7	Tenrecidae	Microgale_soricoides
8	Tenrecidae	Microgale_drouhardi
9	Tenrecidae	Microgale_fotsifotsy
10	Tenrecidae	Microgale_gymnorhyncha
11	Tenrecidae	Microgale_longicaudata
12	Tenrecidae	Microgale_parvula
13	Tenrecidae	Oryzorictes_hova
14	Tenrecidae	Microgale_brevicaudata
15	Tenrecidae	Microgale_taiva
16	Tenrecidae	Oryzorictes_tetradactylus
17	Tenrecidae	Echinops_telfairi
18	Chrysochloridae	Chrysospalax_trevelyani
19	Tenrecidae	Potamogale_velox
20	Chrysochloridae	Cryptochloris_wintoni
21	Talpidae	Scapanus_townsendii
22	Soricidae	Neomys_fodiens
23	Erinaceidae	Erinaceus_europaeus
24	Erinaceidae	Atelerix_albiventris
25	Notoryctidae	Notoryctes_typhlops
26	Talpidae	Desmana_moschata
27	Soricidae	Neomys_anomalus
28	Soricidae	Chimarrogale_himalayica
29	Talpidae	Galemys_pyrenaicus
30	Erinaceidae	Neotetracus_sinensis
31	Soricidae	Crocidura_fumosa
32	Tenrecidae	Microgale_pusilla
33	Tenrecidae	Limnogale_mergulus
34	Tenrecidae	Geogale_aurita
35	Talpidae	Scapanus_latimanus
36	Erinaceidae	Hemiechinus_collaris
37	Soricidae	Sorex_palustris
38	Tenrecidae	Setifer_setosus
39	Talpidae	Scalopus_aquaticus
40	Erinaceidae	Echinosorex_gymnura
41	Erinaceidae	Hylomys_suillus
42	Talpidae	Urotrichus_talpoides
43	Chrysochloridae	Amblysomus_hottentotus
44	Tenrecidae	Tenrec_ecaudatus
45	Tenrecidae	Micropotamogale_ruwenzorii
46	Tenrecidae	Micropotamogale_lamottei
47	Tenrecidae	Microgale_cowani
48	Tenrecidae	Hemicentetes_nigriceps
49	Talpidae	Talpa_occidentalis
50	Talpidae	Neurotrichus_gibbsii
51	Soricidae	Blarina_brevicauda
52	Soricidae	Sorex_alpinus
53	Talpidae	Talpa_caeca
54	Soricidae	Sorex_cinereus
55	Talpidae	Talpa_europaea
56	Tenrecidae	Microgale_dobsoni
57	Soricidae	Surdisorex_norae
58	Soricidae	Nectogale_elegans
59	Soricidae	Anourosorex_squamipes
60	Soricidae	Anourosorex_yamashinai
61	Talpidae	Euroscaptor_klossi
62	Erinaceidae	Atelerix_frontalis
63	Erinaceidae	Mesechinus_dauuricus
64	Erinaceidae	Erinaceus_amurensis
65	Solenodontidae	Solenodon_paradoxus
66	Solenodontidae	Solenodon_cubanus
67	Erinaceidae	Hemiechinus_auritus
68	Erinaceidae	Erinaceus_concolor
69	Talpidae	Condylura_cristata
70	Soricidae	Suncus_murinus
71	Talpidae	Mogera_insularis
72	Soricidae	Cryptotis_parva
73	Chrysochloridae	Calcochloris_obtusirostris
74	Chrysochloridae	Chrysospalax_villosus
75	Chrysochloridae	Carpitalpa_arendsi
76	Tenrecidae	Microgale_gracilis
77	Erinaceidae	Paraechinus_aethiopicus
78	Erinaceidae	Atelerix_algirus
79	Talpidae	Uropsilus_soricipes
80	Tenrecidae	Microgale_talazaci
81	Tenrecidae	Microgale_principula
82	Tenrecidae	Microgale_thomasi
83	Chrysochloridae	Calcochloris_leucorhinus
84	Soricidae	Crocidura_crenata
85	Soricidae	Sylvisorex_johnstoni
86	Soricidae	Sylvisorex_ollula
87	Erinaceidae	Atelerix_sclateri
88	Soricidae	Sorex_bendirii
89	Soricidae	Sorex_arcticus
90	Soricidae	Sorex_araneus
91	Soricidae	Crocidura_russula
92	Tenrecidae	Microgale_monticola
93	Tenrecidae	Microgale_dryas
94	Soricidae	Suncus_madagascariensis
95	Tenrecidae	Microgale_grandidieri
96	Talpidae	Euroscaptor_micrura
97	Chrysochloridae	Amblysomus_corriae
