Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Tenrecidae	Hemicentetes_semispinosus
6	Tenrecidae	Microgale_jobihely
7	Tenrecidae	Microgale_soricoides
8	Tenrecidae	Microgale_drouhardi
9	Tenrecidae	Microgale_fotsifotsy
10	Tenrecidae	Microgale_gymnorhyncha
11	Tenrecidae	Microgale_longicaudata
12	Tenrecidae	Microgale_parvula
13	Tenrecidae	Oryzorictes_hova
14	Tenrecidae	Microgale_brevicaudata
15	Tenrecidae	Microgale_taiva
16	Tenrecidae	Oryzorictes_tetradactylus
17	Tenrecidae	Echinops_telfairi
18	Chrysochloridae	Chrysospalax_trevelyani
19	Tenrecidae	Potamogale_velox
20	Chrysochloridae	Cryptochloris_wintoni
21	Erinaceidae	Paraechinus_aethiopicus
22	Talpidae	Condylura_cristata
23	Soricidae	Neomys_fodiens
24	Soricidae	Crocidura_russula
25	Tenrecidae	Microgale_monticola
26	Tenrecidae	Micropotamogale_lamottei
27	Tenrecidae	Microgale_pusilla
28	Tenrecidae	Microgale_gracilis
29	Tenrecidae	Microgale_dryas
30	Soricidae	Suncus_madagascariensis
31	Tenrecidae	Geogale_aurita
32	Talpidae	Neurotrichus_gibbsii
33	Tenrecidae	Microgale_grandidieri
34	Soricidae	Sorex_araneus
35	Talpidae	Euroscaptor_micrura
36	Erinaceidae	Atelerix_frontalis
37	Chrysochloridae	Amblysomus_corriae
38	Erinaceidae	Echinosorex_gymnura
39	Chrysochloridae	Calcochloris_leucorhinus
40	Erinaceidae	Erinaceus_concolor
41	Talpidae	Talpa_caeca
42	Soricidae	Sorex_bendirii
43	Erinaceidae	Hylomys_suillus
44	Talpidae	Scapanus_townsendii
45	Erinaceidae	Erinaceus_europaeus
46	Erinaceidae	Atelerix_albiventris
47	Notoryctidae	Notoryctes_typhlops
48	Talpidae	Desmana_moschata
49	Soricidae	Neomys_anomalus
50	Talpidae	Galemys_pyrenaicus
51	Erinaceidae	Neotetracus_sinensis
52	Soricidae	Crocidura_fumosa
53	Tenrecidae	Limnogale_mergulus
54	Talpidae	Scapanus_latimanus
55	Soricidae	Sorex_palustris
56	Tenrecidae	Setifer_setosus
57	Talpidae	Scalopus_aquaticus
58	Talpidae	Urotrichus_talpoides
59	Chrysochloridae	Amblysomus_hottentotus
60	Tenrecidae	Tenrec_ecaudatus
61	Tenrecidae	Micropotamogale_ruwenzorii
62	Tenrecidae	Microgale_cowani
63	Tenrecidae	Hemicentetes_nigriceps
64	Talpidae	Talpa_occidentalis
65	Soricidae	Blarina_brevicauda
66	Soricidae	Sorex_alpinus
67	Soricidae	Sorex_cinereus
68	Talpidae	Talpa_europaea
69	Tenrecidae	Microgale_dobsoni
70	Soricidae	Surdisorex_norae
71	Soricidae	Nectogale_elegans
72	Soricidae	Anourosorex_squamipes
73	Soricidae	Anourosorex_yamashinai
74	Talpidae	Euroscaptor_klossi
75	Erinaceidae	Mesechinus_dauuricus
76	Erinaceidae	Erinaceus_amurensis
77	Solenodontidae	Solenodon_paradoxus
78	Solenodontidae	Solenodon_cubanus
79	Erinaceidae	Hemiechinus_auritus
80	Soricidae	Suncus_murinus
81	Talpidae	Mogera_insularis
82	Soricidae	Cryptotis_parva
83	Chrysochloridae	Calcochloris_obtusirostris
84	Chrysochloridae	Chrysospalax_villosus
85	Chrysochloridae	Carpitalpa_arendsi
86	Erinaceidae	Atelerix_algirus
87	Talpidae	Uropsilus_soricipes
88	Tenrecidae	Microgale_talazaci
89	Tenrecidae	Microgale_principula
90	Tenrecidae	Microgale_thomasi
91	Soricidae	Crocidura_crenata
92	Soricidae	Sylvisorex_johnstoni
93	Soricidae	Sylvisorex_ollula
94	Erinaceidae	Atelerix_sclateri
95	Soricidae	Sorex_arcticus
