Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Tenrecidae	Hemicentetes_semispinosus
6	Tenrecidae	Microgale_jobihely
7	Tenrecidae	Microgale_drouhardi
8	Tenrecidae	Microgale_fotsifotsy
9	Tenrecidae	Microgale_gymnorhyncha
10	Tenrecidae	Microgale_longicaudata
11	Tenrecidae	Microgale_parvula
12	Tenrecidae	Microgale_soricoides
13	Tenrecidae	Oryzorictes_hova
14	Tenrecidae	Microgale_brevicaudata
15	Tenrecidae	Microgale_taiva
16	Tenrecidae	Oryzorictes_tetradactylus
17	Tenrecidae	Echinops_telfairi
18	Chrysochloridae	Chrysospalax_trevelyani
19	Tenrecidae	Potamogale_velox
20	Chrysochloridae	Cryptochloris_wintoni
21	Erinaceidae	Paraechinus_aethiopicus
22	Talpidae	Condylura_cristata
23	Soricidae	Neomys_fodiens
24	Soricidae	Crocidura_russula
25	Tenrecidae	Microgale_monticola
26	Tenrecidae	Micropotamogale_lamottei
27	Tenrecidae	Microgale_pusilla
28	Tenrecidae	Microgale_gracilis
29	Tenrecidae	Microgale_dryas
30	Soricidae	Suncus_madagascariensis
31	Tenrecidae	Geogale_aurita
32	Talpidae	Neurotrichus_gibbsii
33	Tenrecidae	Microgale_grandidieri
34	Talpidae	Euroscaptor_micrura
35	Erinaceidae	Atelerix_frontalis
36	Chrysochloridae	Amblysomus_corriae
37	Erinaceidae	Echinosorex_gymnura
38	Chrysochloridae	Calcochloris_leucorhinus
39	Erinaceidae	Erinaceus_concolor
40	Talpidae	Talpa_caeca
41	Soricidae	Sorex_bendirii
42	Erinaceidae	Hylomys_suillus
43	Talpidae	Scapanus_townsendii
44	Erinaceidae	Erinaceus_europaeus
45	Erinaceidae	Atelerix_albiventris
46	Notoryctidae	Notoryctes_typhlops
47	Talpidae	Desmana_moschata
48	Soricidae	Neomys_anomalus
49	Talpidae	Galemys_pyrenaicus
50	Erinaceidae	Neotetracus_sinensis
51	Soricidae	Crocidura_fumosa
52	Tenrecidae	Limnogale_mergulus
53	Talpidae	Scapanus_latimanus
54	Soricidae	Sorex_palustris
55	Talpidae	Scalopus_aquaticus
56	Talpidae	Urotrichus_talpoides
57	Chrysochloridae	Amblysomus_hottentotus
58	Tenrecidae	Tenrec_ecaudatus
59	Tenrecidae	Micropotamogale_ruwenzorii
60	Tenrecidae	Microgale_cowani
61	Talpidae	Talpa_occidentalis
62	Soricidae	Blarina_brevicauda
63	Soricidae	Sorex_alpinus
64	Soricidae	Sorex_cinereus
65	Talpidae	Talpa_europaea
66	Tenrecidae	Microgale_dobsoni
67	Soricidae	Surdisorex_norae
68	Soricidae	Nectogale_elegans
69	Soricidae	Anourosorex_squamipes
70	Soricidae	Anourosorex_yamashinai
71	Talpidae	Euroscaptor_klossi
72	Erinaceidae	Mesechinus_dauuricus
73	Erinaceidae	Erinaceus_amurensis
74	Solenodontidae	Solenodon_paradoxus
75	Tenrecidae	Hemicentetes_nigriceps
76	Solenodontidae	Solenodon_cubanus
77	Erinaceidae	Hemiechinus_auritus
78	Tenrecidae	Setifer_setosus
79	Soricidae	Suncus_murinus
80	Talpidae	Mogera_insularis
81	Soricidae	Cryptotis_parva
82	Chrysochloridae	Calcochloris_obtusirostris
83	Chrysochloridae	Chrysospalax_villosus
84	Chrysochloridae	Carpitalpa_arendsi
85	Erinaceidae	Atelerix_algirus
86	Talpidae	Uropsilus_soricipes
87	Tenrecidae	Microgale_talazaci
88	Tenrecidae	Microgale_principula
89	Tenrecidae	Microgale_thomasi
90	Soricidae	Crocidura_crenata
91	Soricidae	Sylvisorex_johnstoni
92	Soricidae	Sylvisorex_ollula
93	Soricidae	Sorex_arcticus
94	Soricidae	Sorex_araneus
