Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Tenrecidae	Microgale_jobihely
6	Tenrecidae	Microgale_drouhardi
7	Tenrecidae	Microgale_fotsifotsy
8	Tenrecidae	Microgale_gymnorhyncha
9	Tenrecidae	Microgale_longicaudata
10	Tenrecidae	Microgale_parvula
11	Tenrecidae	Microgale_soricoides
12	Tenrecidae	Oryzorictes_hova
13	Tenrecidae	Microgale_brevicaudata
14	Tenrecidae	Microgale_taiva
15	Tenrecidae	Oryzorictes_tetradactylus
16	Tenrecidae	Echinops_telfairi
17	Chrysochloridae	Chrysospalax_trevelyani
18	Tenrecidae	Potamogale_velox
19	Chrysochloridae	Cryptochloris_wintoni
20	Erinaceidae	Paraechinus_aethiopicus
21	Talpidae	Condylura_cristata
22	Soricidae	Neomys_fodiens
23	Soricidae	Crocidura_russula
24	Tenrecidae	Microgale_monticola
25	Tenrecidae	Micropotamogale_lamottei
26	Tenrecidae	Microgale_pusilla
27	Tenrecidae	Microgale_gracilis
28	Tenrecidae	Microgale_dryas
29	Soricidae	Suncus_madagascariensis
30	Tenrecidae	Geogale_aurita
31	Talpidae	Neurotrichus_gibbsii
32	Tenrecidae	Microgale_grandidieri
33	Soricidae	Sorex_araneus
34	Talpidae	Euroscaptor_micrura
35	Erinaceidae	Atelerix_frontalis
36	Chrysochloridae	Amblysomus_corriae
37	Erinaceidae	Echinosorex_gymnura
38	Chrysochloridae	Calcochloris_leucorhinus
39	Erinaceidae	Erinaceus_concolor
40	Talpidae	Talpa_caeca
41	Soricidae	Sorex_bendirii
42	Erinaceidae	Hylomys_suillus
43	Talpidae	Scapanus_townsendii
44	Erinaceidae	Erinaceus_europaeus
45	Erinaceidae	Atelerix_albiventris
46	Notoryctidae	Notoryctes_typhlops
47	Talpidae	Desmana_moschata
48	Soricidae	Neomys_anomalus
49	Talpidae	Galemys_pyrenaicus
50	Erinaceidae	Neotetracus_sinensis
51	Soricidae	Crocidura_fumosa
52	Tenrecidae	Limnogale_mergulus
53	Talpidae	Scapanus_latimanus
54	Soricidae	Sorex_palustris
55	Tenrecidae	Setifer_setosus
56	Talpidae	Scalopus_aquaticus
57	Chrysochloridae	Amblysomus_hottentotus
58	Tenrecidae	Tenrec_ecaudatus
59	Tenrecidae	Micropotamogale_ruwenzorii
60	Tenrecidae	Microgale_cowani
61	Talpidae	Talpa_occidentalis
62	Tenrecidae	Hemicentetes_semispinosus
63	Soricidae	Blarina_brevicauda
64	Soricidae	Sorex_alpinus
65	Talpidae	Urotrichus_talpoides
66	Soricidae	Sorex_cinereus
67	Talpidae	Talpa_europaea
68	Soricidae	Surdisorex_norae
69	Soricidae	Nectogale_elegans
70	Soricidae	Anourosorex_squamipes
71	Soricidae	Anourosorex_yamashinai
72	Talpidae	Euroscaptor_klossi
73	Erinaceidae	Mesechinus_dauuricus
74	Erinaceidae	Erinaceus_amurensis
75	Solenodontidae	Solenodon_paradoxus
76	Tenrecidae	Hemicentetes_nigriceps
77	Tenrecidae	Microgale_dobsoni
78	Solenodontidae	Solenodon_cubanus
79	Erinaceidae	Hemiechinus_auritus
80	Soricidae	Suncus_murinus
81	Talpidae	Mogera_insularis
82	Soricidae	Cryptotis_parva
83	Chrysochloridae	Calcochloris_obtusirostris
84	Chrysochloridae	Chrysospalax_villosus
85	Chrysochloridae	Carpitalpa_arendsi
86	Erinaceidae	Atelerix_algirus
87	Talpidae	Uropsilus_soricipes
88	Tenrecidae	Microgale_talazaci
89	Tenrecidae	Microgale_principula
90	Tenrecidae	Microgale_thomasi
91	Soricidae	Crocidura_crenata
92	Soricidae	Sylvisorex_johnstoni
93	Soricidae	Sylvisorex_ollula
94	Erinaceidae	Atelerix_sclateri
95	Soricidae	Sorex_arcticus
