	Species	Island_type	ecomorph	geo_ecomorph	Female_SVL	Male_SVL	min_n_females	min_n_males	n_females	n_males	refs	notes
A_acutus	Anolis_acutus	SmallIsland	NA	0	49	67	37	76	37 (Lazell 1972)	76 (Lazell 1972)	"Clobert et al. 1998, Dunham and Miles 1985, Stamps et al. 1997, Perry and Garland 2002, Roughgarden 1995, Cox et al. 2003, Schwartz and Henderson 1991, Andrews and Rand 1974, Lazell 1972, Stamps and Andrews 1992, Dunham et al. 1988,"	NA
A_ahli	Anolis_ahli	LargeIsland	TrunkGround	1	52.4	61.7	3	8	3 (Schettino 1999)	8 (Schettino 1999)	"Fitch 1981, Schettino 1999, Schwartz and Henderson 1991"	NA
A_alayoni	Anolis_alayoni	LargeIsland	Twig	2	38.9	46.8	13	16	13 (Schettino 1999)	16 (Schettino 1999)	"Schettino 1999, Uetz 2006"	NA
A_alfaroi	Anolis_alfaroi	LargeIsland	GrassBush	2	33	36	NA	NA	NA	NA	Schettino 1999	NA
A_aliniger	Anolis_aliniger	LargeIsland	TrunkCrown	1	57	60	4	10	4 (Butler et al. 2000)	10 (Butler et al. 2000)	"Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_allisoni	Anolis_allisoni	LargeIsland	TrunkCrown	1	75	100	88	170	"88 (Schoener 1970), 16 (Schettino 1999)"	"170 (Schoener 1970), 27 (Schettino 1999)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004, Butler et al. 2000, McCranie et al. 2005"	NA
A_allogus	Anolis_allogus	LargeIsland	TrunkGround	1	49	62.8	367	777	"367 (Schoener 1970), 10 (Schettino 1999)"	"777 (Schoener 1970), 10 (Schettino 1999)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Butler et al. 2000, Rogner 1997"	NA
A_altae	Anolis_altae	Mainland	NA	3	52	52	1	NA	1 (Taylor 1956)	NA	"Savage 2002, Taylor 1956"	NA
A_altitudi	Anolis_altitudinalis	LargeIsland	TrunkCrown	1	51	52	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991"	Sometimes considered a subspecies of isolepis but data from Garrido and Hedges suggest that alt is the larger of the two. No data can be confidently assigned to isolepis rather than altitudinalis so we omit isolepis
A_alumina	Anolis_alumina	LargeIsland	GrassBush	2	37	40	NA	NA	NA	NA	"Fitch 1981, Schwartz and Henderson 1991, Williams 1983"	NA
