SpecID,Binomial
AMNH_275041,Microgale_soricoides
AMNH_275299,Microgale_taiva
FMNH_166145,Microgale_gracilis
FMNH_176385,Microgale_dryas
FMNH_23515,Sorex_araneus
FMNH_82120,Erinaceus_concolor
MCZ_18133,Scapanus_townsendii
MCZ_46274,Geogale_aurita
MCZ_5187,Hemiechinus_auritus
MCZ_56806,Erinaceus_albiventris
NHML_1870.3.10.15_1527.a,Setifer_setosus
NHML_82.3.1.11,Hemicentetes_nigriceps
SI_168479,Scalopus_aquaticus
SI_270539,Mesechinus_dauuricus
SI_294497,Setifer_setosus
SI_300010,Hylomys_suillus
SI_328689,Microgale_cowani
SI_341689,Hemicentetes_semispinosus
SI_351335,Chrysochtricha_obtusirostris
SI_351955,Calcochloris_obtusirostris
SI_37464,Erinaceus_europaeus
SI_468317,Chrysochloris_asiatica
SI_470564,Hemiechinus_aethiopicus
SI_537651,Potamogale_velox
SI_63220,Atelerix sclateri
