Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_hottentotus
8	Chrysochloridae	Calcochloris_obtusirostris
9	Chrysochloridae	Chrysospalax_villosus
10	Chrysochloridae	Carpitalpa_arendsi
11	Chrysochloridae	Calcochloris_leucorhinus
12	Chrysochloridae	Amblysomus_corriae
13	Tenrecidae	Hemicentetes_semispinosus
14	Tenrecidae	Oryzorictes_hova
15	Tenrecidae	Oryzorictes_tetradactylus
16	Tenrecidae	Echinops_telfairi
17	Tenrecidae	Potamogale_velox
18	Tenrecidae	Limnogale_mergulus
19	Tenrecidae	Geogale_aurita
20	Tenrecidae	Setifer_setosus
21	Tenrecidae	Tenrec_ecaudatus
22	Tenrecidae	Micropotamogale_ruwenzorii
23	Tenrecidae	Micropotamogale_lamottei
24	Tenrecidae	Hemicentetes_nigriceps
