Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_hottentotus
8	Chrysochloridae	Calcochloris_obtusirostris
9	Chrysochloridae	Chrysospalax_villosus
10	Chrysochloridae	Carpitalpa_arendsi
11	Chrysochloridae	Calcochloris_leucorhinus
12	Chrysochloridae	Amblysomus_corriae
13	Tenrecidae	Hemicentetes_semispinosus
14	Tenrecidae	Microgale_longicaudata
15	Tenrecidae	Microgale_parvula
16	Tenrecidae	Oryzorictes_hova
17	Tenrecidae	Microgale_brevicaudata
18	Tenrecidae	Oryzorictes_tetradactylus
19	Tenrecidae	Echinops_telfairi
20	Tenrecidae	Potamogale_velox
21	Tenrecidae	Limnogale_mergulus
22	Tenrecidae	Geogale_aurita
23	Tenrecidae	Setifer_setosus
24	Tenrecidae	Tenrec_ecaudatus
25	Tenrecidae	Micropotamogale_ruwenzorii
26	Tenrecidae	Micropotamogale_lamottei
27	Tenrecidae	Hemicentetes_nigriceps
28	Tenrecidae	Microgale_dobsoni
29	Tenrecidae	Microgale_dryas
