Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_hottentotus
8	Chrysochloridae	Calcochloris_obtusirostris
9	Chrysochloridae	Chrysospalax_villosus
10	Chrysochloridae	Carpitalpa_arendsi
11	Chrysochloridae	Calcochloris_leucorhinus
12	Chrysochloridae	Amblysomus_corriae
13	Tenrecidae	Hemicentetes_semispinosus
14	Tenrecidae	Microgale_jobihely
15	Tenrecidae	Microgale_soricoides
16	Tenrecidae	Microgale_drouhardi
17	Tenrecidae	Microgale_fotsifotsy
18	Tenrecidae	Microgale_gymnorhyncha
19	Tenrecidae	Microgale_longicaudata
20	Tenrecidae	Microgale_parvula
21	Tenrecidae	Oryzorictes_hova
22	Tenrecidae	Microgale_brevicaudata
23	Tenrecidae	Microgale_taiva
24	Tenrecidae	Oryzorictes_tetradactylus
25	Tenrecidae	Echinops_telfairi
26	Tenrecidae	Potamogale_velox
27	Tenrecidae	Microgale_pusilla
28	Tenrecidae	Limnogale_mergulus
29	Tenrecidae	Geogale_aurita
30	Tenrecidae	Setifer_setosus
31	Tenrecidae	Tenrec_ecaudatus
32	Tenrecidae	Micropotamogale_ruwenzorii
33	Tenrecidae	Micropotamogale_lamottei
34	Tenrecidae	Microgale_cowani
35	Tenrecidae	Hemicentetes_nigriceps
36	Tenrecidae	Microgale_dobsoni
37	Tenrecidae	Microgale_gracilis
38	Tenrecidae	Microgale_talazaci
39	Tenrecidae	Microgale_principula
40	Tenrecidae	Microgale_thomasi
41	Tenrecidae	Microgale_monticola
42	Tenrecidae	Microgale_dryas
43	Tenrecidae	Microgale_grandidieri
