Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_corriae
8	Chrysochloridae	Calcochloris_leucorhinus
9	Chrysochloridae	Amblysomus_hottentotus
10	Chrysochloridae	Calcochloris_obtusirostris
11	Chrysochloridae	Chrysospalax_villosus
12	Chrysochloridae	Carpitalpa_arendsi
13	Tenrecidae	Hemicentetes_semispinosus
14	Tenrecidae	Microgale_longicaudata
15	Tenrecidae	Microgale_parvula
16	Tenrecidae	Oryzorictes_hova
17	Tenrecidae	Microgale_brevicaudata
18	Tenrecidae	Oryzorictes_tetradactylus
19	Tenrecidae	Echinops_telfairi
20	Tenrecidae	Potamogale_velox
21	Tenrecidae	Micropotamogale_lamottei
22	Tenrecidae	Microgale_dryas
23	Tenrecidae	Geogale_aurita
24	Tenrecidae	Limnogale_mergulus
25	Tenrecidae	Setifer_setosus
26	Tenrecidae	Tenrec_ecaudatus
27	Tenrecidae	Micropotamogale_ruwenzorii
28	Tenrecidae	Hemicentetes_nigriceps
29	Tenrecidae	Microgale_dobsoni
