Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_corriae
8	Chrysochloridae	Calcochloris_leucorhinus
9	Chrysochloridae	Amblysomus_hottentotus
10	Chrysochloridae	Calcochloris_obtusirostris
11	Chrysochloridae	Chrysospalax_villosus
12	Chrysochloridae	Carpitalpa_arendsi
13	Tenrecidae	Hemicentetes_semispinosus
14	Tenrecidae	Microgale_jobihely
15	Tenrecidae	Microgale_soricoides
16	Tenrecidae	Microgale_drouhardi
17	Tenrecidae	Microgale_fotsifotsy
18	Tenrecidae	Microgale_gymnorhyncha
19	Tenrecidae	Microgale_longicaudata
20	Tenrecidae	Microgale_parvula
21	Tenrecidae	Oryzorictes_hova
22	Tenrecidae	Microgale_brevicaudata
23	Tenrecidae	Microgale_taiva
24	Tenrecidae	Oryzorictes_tetradactylus
25	Tenrecidae	Echinops_telfairi
26	Tenrecidae	Potamogale_velox
27	Tenrecidae	Microgale_monticola
28	Tenrecidae	Micropotamogale_lamottei
29	Tenrecidae	Microgale_pusilla
30	Tenrecidae	Microgale_gracilis
31	Tenrecidae	Microgale_dryas
32	Tenrecidae	Geogale_aurita
33	Tenrecidae	Microgale_grandidieri
34	Tenrecidae	Limnogale_mergulus
35	Tenrecidae	Setifer_setosus
36	Tenrecidae	Tenrec_ecaudatus
37	Tenrecidae	Micropotamogale_ruwenzorii
38	Tenrecidae	Microgale_cowani
39	Tenrecidae	Hemicentetes_nigriceps
40	Tenrecidae	Microgale_dobsoni
41	Tenrecidae	Microgale_talazaci
42	Tenrecidae	Microgale_principula
43	Tenrecidae	Microgale_thomasi
