Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_corriae
8	Chrysochloridae	Calcochloris_leucorhinus
9	Chrysochloridae	Amblysomus_hottentotus
10	Chrysochloridae	Calcochloris_obtusirostris
11	Chrysochloridae	Chrysospalax_villosus
12	Chrysochloridae	Carpitalpa_arendsi
13	Tenrecidae	Oryzorictes_hova
14	Tenrecidae	Oryzorictes_tetradactylus
15	Tenrecidae	Echinops_telfairi
16	Tenrecidae	Potamogale_velox
17	Tenrecidae	Micropotamogale_lamottei
18	Tenrecidae	Geogale_aurita
19	Tenrecidae	Limnogale_mergulus
20	Tenrecidae	Setifer_setosus
21	Tenrecidae	Tenrec_ecaudatus
22	Tenrecidae	Micropotamogale_ruwenzorii
23	Tenrecidae	Hemicentetes_semispinosus
24	Tenrecidae	Hemicentetes_nigriceps
