Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_corriae
8	Chrysochloridae	Calcochloris_leucorhinus
9	Chrysochloridae	Amblysomus_hottentotus
10	Chrysochloridae	Calcochloris_obtusirostris
11	Chrysochloridae	Chrysospalax_villosus
12	Chrysochloridae	Carpitalpa_arendsi
13	Tenrecidae	Microgale_longicaudata
14	Tenrecidae	Microgale_parvula
15	Tenrecidae	Oryzorictes_hova
16	Tenrecidae	Microgale_brevicaudata
17	Tenrecidae	Oryzorictes_tetradactylus
18	Tenrecidae	Echinops_telfairi
19	Tenrecidae	Potamogale_velox
20	Tenrecidae	Micropotamogale_lamottei
21	Tenrecidae	Microgale_dryas
22	Tenrecidae	Geogale_aurita
23	Tenrecidae	Limnogale_mergulus
24	Tenrecidae	Setifer_setosus
25	Tenrecidae	Tenrec_ecaudatus
26	Tenrecidae	Micropotamogale_ruwenzorii
27	Tenrecidae	Hemicentetes_semispinosus
28	Tenrecidae	Hemicentetes_nigriceps
29	Tenrecidae	Microgale_dobsoni
