Family	Binomial
1	Chrysochloridae	Chlorotalpa_duthieae
2	Chrysochloridae	Eremitalpa_granti
3	Chrysochloridae	Chrysochloris_asiatica
4	Chrysochloridae	Chrysochloris_stuhlmanni
5	Chrysochloridae	Chrysospalax_trevelyani
6	Chrysochloridae	Cryptochloris_wintoni
7	Chrysochloridae	Amblysomus_corriae
8	Chrysochloridae	Calcochloris_leucorhinus
9	Chrysochloridae	Amblysomus_hottentotus
10	Chrysochloridae	Calcochloris_obtusirostris
11	Chrysochloridae	Chrysospalax_villosus
12	Chrysochloridae	Carpitalpa_arendsi
13	Tenrecidae	Microgale_jobihely
14	Tenrecidae	Microgale_drouhardi
15	Tenrecidae	Microgale_fotsifotsy
16	Tenrecidae	Microgale_gymnorhyncha
17	Tenrecidae	Microgale_longicaudata
18	Tenrecidae	Microgale_parvula
19	Tenrecidae	Microgale_soricoides
20	Tenrecidae	Oryzorictes_hova
21	Tenrecidae	Microgale_brevicaudata
22	Tenrecidae	Microgale_taiva
23	Tenrecidae	Oryzorictes_tetradactylus
24	Tenrecidae	Echinops_telfairi
25	Tenrecidae	Potamogale_velox
26	Tenrecidae	Microgale_monticola
27	Tenrecidae	Micropotamogale_lamottei
28	Tenrecidae	Microgale_pusilla
29	Tenrecidae	Microgale_gracilis
30	Tenrecidae	Microgale_dryas
31	Tenrecidae	Geogale_aurita
32	Tenrecidae	Microgale_grandidieri
33	Tenrecidae	Limnogale_mergulus
34	Tenrecidae	Setifer_setosus
35	Tenrecidae	Tenrec_ecaudatus
36	Tenrecidae	Micropotamogale_ruwenzorii
37	Tenrecidae	Microgale_cowani
38	Tenrecidae	Hemicentetes_semispinosus
39	Tenrecidae	Hemicentetes_nigriceps
40	Tenrecidae	Microgale_dobsoni
41	Tenrecidae	Microgale_talazaci
42	Tenrecidae	Microgale_principula
43	Tenrecidae	Microgale_thomasi
