ID,Image,SpecID,Order,Family,Genus,Species,Binomial
1,'AMNH_180911_cr_vt_1A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
2,'AMNH_180911_cr_vt_1A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
3,'AMNH_180911_cr_vt_1A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
4,'AMNH_180911_cr_vt_2A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
5,'AMNH_180911_cr_vt_2A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
6,'AMNH_180911_cr_vt_2A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
7,'AMNH_180911_cr_vt_3A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
8,'AMNH_180911_cr_vt_3A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
9,'AMNH_180911_cr_vt_3A_26_04_2013.TIF',AMNH_180911,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,Chyrsochloris_stuhlmanni
10,'AMNH_274986_cr_vt_1A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
11,'AMNH_274986_cr_vt_1A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
12,'AMNH_274986_cr_vt_1A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
13,'AMNH_274986_cr_vt_2A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
14,'AMNH_274986_cr_vt_2A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
15,'AMNH_274986_cr_vt_2A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
16,'AMNH_274986_cr_vt_3A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
17,'AMNH_274986_cr_vt_3A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
18,'AMNH_274986_cr_vt_3A_22_04_2013.TIF',AMNH_274986,Afrosoricida,Tenrecidae,Microgale,jobihely,Microgale_jobihely
19,'MCZ_18134_cr_vt_1A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
20,'MCZ_18134_cr_vt_1A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
21,'MCZ_18134_cr_vt_1A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
22,'MCZ_18134_cr_vt_2A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
23,'MCZ_18134_cr_vt_2A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
24,'MCZ_18134_cr_vt_2A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
25,'MCZ_18134_cr_vt_3A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
26,'MCZ_18134_cr_vt_3A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
27,'MCZ_18134_cr_vt_3A_02_05_2013.TIF',MCZ_18134,Soricomorpha,Talpidae,Scapanus,townsendii,Scapanus_townsendii
28,'MCZ_18_cr_vt_1A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
29,'MCZ_18_cr_vt_1A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
30,'MCZ_18_cr_vt_1A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
31,'MCZ_18_cr_vt_2A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
32,'MCZ_18_cr_vt_2A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
33,'MCZ_18_cr_vt_2A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
34,'MCZ_18_cr_vt_3A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
35,'MCZ_18_cr_vt_3A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
36,'MCZ_18_cr_vt_3A_29_04_2013.TIF',MCZ_18,Soricomorpha,Soricidae,Neomys,fodiens,Neomys_fodiens
37,'MCZ_22207_cr_vt_1A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
38,'MCZ_22207_cr_vt_1A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
39,'MCZ_22207_cr_vt_1A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
40,'MCZ_22207_cr_vt_2A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
41,'MCZ_22207_cr_vt_2A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
42,'MCZ_22207_cr_vt_2A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
43,'MCZ_22207_cr_vt_3A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
44,'MCZ_22207_cr_vt_3A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
45,'MCZ_22207_cr_vt_3A_30_04_2013.TIF',MCZ_22207,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus
46,'SI_328624_cr_vt_1A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
47,'SI_328624_cr_vt_1A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
48,'SI_328624_cr_vt_1A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
49,'SI_328624_cr_vt_2A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
50,'SI_328624_cr_vt_2A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
51,'SI_328624_cr_vt_2A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
52,'SI_328624_cr_vt_3A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
53,'SI_328624_cr_vt_3A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
54,'SI_328624_cr_vt_3A_01_04_2013.TIF',SI_328624,Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi
55,'NHML_3509_cr_vt_1A_02_13.TIF',NHML_3509,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,Tenrec_ecaudatus
56,'NHML_3509_cr_vt_1A_02_13.TIF',NHML_3509,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,Tenrec_ecaudatus
